Date,Symbol,Frequency,Open,High,Low,Close,Volume
30.06.2019,CZK,Month,22.3745,23.2392,22.3565,23.1794,1119492.9803999995
31.07.2019,CZK,Month,23.1867,23.6655,22.9065,23.5876,1625338.9307
31.08.2019,CZK,Month,23.5992,23.7145,23.2625,23.6595,1114391.7429999996
30.09.2019,CZK,Month,23.6585,23.7205,22.8134,22.8664,1164610.5982999993
31.10.2019,CZK,Month,22.8704,23.2694,22.8254,23.161,757849.6989000011
30.11.2019,CZK,Month,23.1442,23.2126,22.6044,22.6579,864231.9800000001
31.12.2019,CZK,Month,22.6471,22.9624,22.4554,22.7259,862238.1090999995
31.01.2020,CZK,Month,22.702,23.3493,22.6034,23.0527,980976.6171
29.02.2020,CZK,Month,23.0339,26.0694,22.202,24.751,2850284.5981999994
31.03.2020,CZK,Month,24.736,25.7778,24.3644,24.7304,1464594.0027999994
30.04.2020,CZK,Month,24.7254,25.6462,24.1464,24.2074,982441.5141
31.05.2020,CZK,Month,24.1955,24.2465,23.224,23.7254,1611657.8827000002
30.06.2020,CZK,Month,23.7253,23.8394,21.9863,22.259,1324424.2108999984
31.07.2020,CZK,Month,22.2626,22.4914,21.8054,21.9954,1330917.3833000003
31.08.2020,CZK,Month,21.9766,23.3859,21.7985,23.0834,1152320.3310999998
30.09.2020,CZK,Month,23.0704,23.4922,22.7954,23.3619,1240820.2771999992
31.10.2020,CZK,Month,23.3585,23.4578,21.7964,21.9854,1554775.389400001
30.11.2020,CZK,Month,22.0014,22.0124,21.2751,21.4541,783070.6973999996
31.12.2020,CZK,Month,21.4324,21.7283,21.1331,21.431,925166.2058999996
31.01.2021,CZK,Month,21.4134,21.6939,21.1093,21.6664,920539.7494
28.02.2021,CZK,Month,21.6604,22.3424,21.4537,22.2534,1128605.4911999998
31.03.2021,CZK,Month,22.2654,22.2933,21.2705,21.5011,1041850.6506999992
30.04.2021,CZK,Month,21.4885,21.578,20.7132,20.7894,1047112.400600001
31.05.2021,CZK,Month,20.7974,21.5885,20.7399,21.4964,901050.8677999997
30.06.2021,CZK,Month,21.4899,21.9163,21.3799,21.4539,947720.3709000006
31.07.2021,CZK,Month,21.4657,21.9134,21.2448,21.5134,770250.8594999997
31.08.2021,CZK,Month,21.5124,22.0657,21.2294,21.8774,793619.2493000004
30.09.2021,CZK,Month,21.8724,22.2399,21.7353,22.1643,721753.5685000003
31.10.2021,CZK,Month,22.1497,22.9246,21.7021,22.4714,1055789.9118
30.11.2021,CZK,Month,22.4674,22.6791,21.8248,21.8559,826680.9513
31.12.2021,CZK,Month,21.8624,22.0046,21.1567,21.6404,973752.6898999996
31.01.2022,CZK,Month,21.6414,22.5093,21.1194,22.4184,1334068.9805999997
28.02.2022,CZK,Month,22.4079,23.9188,21.8222,22.0447,1679004.5514000014
31.03.2022,CZK,Month,22.0394,23.4494,21.9539,23.3351,1525481.5900000017
30.04.2022,CZK,Month,23.2459,24.3644,22.8764,23.0024,1459052.713
31.05.2022,CZK,Month,23.0044,23.853,22.8864,23.5834,1549917.1900999984
30.06.2022,CZK,Month,23.5874,24.6034,23.5794,24.0551,1884186.1454999992
31.07.2022,CZK,Month,24.0256,24.9023,23.4524,24.3664,2205590.248600001
31.08.2022,CZK,Month,24.3644,25.8754,24.0761,25.0582,2483146.3535000007
30.09.2022,CZK,Month,25.0529,25.5052,24.2894,24.7544,2318997.137299998
31.10.2022,CZK,Month,24.7464,25.2084,23.1887,23.3854,2304366.819699999
30.11.2022,CZK,Month,23.3904,23.4224,22.5114,22.5559,1826506.2463000007
31.12.2022,CZK,Month,22.4379,22.9483,21.7424,21.8734,1435094.1304999995
31.01.2023,CZK,Month,21.8794,22.4499,21.5534,22.2054,1054167.4692
28.02.2023,CZK,Month,22.2134,22.8454,21.4823,21.6283,1355970.939
31.03.2023,CZK,Month,21.5587,21.7706,20.923,21.3331,663383.3880000007
30.04.2023,CZK,Month,21.2426,22.3171,21.1485,22.176,976902.4091999996
31.05.2023,CZK,Month,22.1283,22.2407,21.4491,21.7566,1056149.0506999998
30.06.2023,CZK,Month,21.6711,22.0395,21.0984,21.1484,636082.9100000017
